family,run,bucket,n_subgroups,mean_d_fpr,n_improved
heldout,heldout,weighted,7,-0.0121,6
heldout,heldout,held_out,7,0.0063,1
heldout,heldout_s43,weighted,8,-0.0593,8
heldout,heldout_s43,held_out,7,-0.0484,7
heldout,heldout_s44,weighted,7,-0.028,7
heldout,heldout_s44,held_out,7,-0.0217,7
heldout,heldout_s45,weighted,7,-0.0121,6
heldout,heldout_s45,held_out,7,-0.0129,4
heldout,heldout_s46,weighted,7,-0.0433,7
heldout,heldout_s46,held_out,7,-0.035,7
heldout,heldout_s47,weighted,7,-0.0191,7
heldout,heldout_s47,held_out,7,0.0032,1
heldout,heldout_s48,weighted,7,-0.0242,7
heldout,heldout_s48,held_out,7,-0.0101,5
heldout,heldout_s49,weighted,8,-0.0238,8
heldout,heldout_s49,held_out,7,-0.0103,4
main,main,weighted,7,-0.0147,6
main,main,held_out,7,-0.0151,6
main,main_s43,weighted,8,-0.0508,8
main,main_s43,held_out,7,-0.0773,7
main,main_s44,weighted,7,-0.0312,7
main,main_s44,held_out,7,-0.0482,7
main,main_s45,weighted,7,-0.0103,6
main,main_s45,held_out,7,-0.0326,7
main,main_s46,weighted,7,-0.0308,7
main,main_s46,held_out,7,-0.0488,7
main,main_s47,weighted,7,-0.0209,7
main,main_s47,held_out,7,-0.0226,7
main,main_s48,weighted,7,-0.026,7
main,main_s48,held_out,7,-0.0297,7
main,main_s49,weighted,8,-0.0222,8
main,main_s49,held_out,7,-0.0388,7
