model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.805013367838171,0.057384065389973316,0.2900643129019556,0.13999614133475996,0.11879093260267691,0.3110007015704185,False
baseline,0.4,0.8060730189042122,0.04063375908427183,0.3579209870061688,0.10051383801383801,0.07843718124470325,0.3979229946271387,False
baseline,0.5,0.8000845682773376,0.028851479498497843,0.4218401365008531,0.07671448921448921,0.05222480305499322,0.47616019272517524,False
baseline,0.6,0.7882717991941453,0.020660948960239,0.4819530122063263,0.05505698005698005,0.03652917935434851,0.5495186013610978,False
baseline,0.7,0.7703540554737855,0.014232725197630117,0.5444284026775167,0.032570207570207566,0.024428510764701202,0.6152911625218461,False
mitigated,0.3,0.8025278229789552,0.05686376529430523,0.2995143719648248,0.17137177244404178,0.12048707957230632,0.318542618169994,False
mitigated,0.4,0.8042086243800455,0.040600191336164215,0.3630397689985562,0.1262043133241944,0.08357474187758741,0.39529534053504,False
mitigated,0.5,0.7980101038126968,0.02851580201742166,0.4282714266964169,0.06877289377289378,0.05240761175303236,0.4806038109685701,False
mitigated,0.6,0.7858036607467314,0.020191000486732346,0.4893030581441134,0.07434199354729157,0.03695053870827491,0.5517014938433333,False
mitigated,0.7,0.7675762345851376,0.013695641227908225,0.5520409502559391,0.03157814407814408,0.022551779683173324,0.6230499579352364,False
