model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.7859785230741285,0.09117000386029103,0.207245045281533,0.3024932142309087,0.18700979209752647,0.2025750547001001,False
baseline,0.4,0.7989470071596638,0.06721941558550544,0.2664391652447828,0.22434940186512128,0.14165679688598865,0.28036779520178146,False
baseline,0.5,0.8065340496814921,0.047867608801463554,0.32615828848930306,0.16434658688276868,0.09711698591429022,0.35609916145651416,False
baseline,0.6,0.8061461122997053,0.03304744801195012,0.38942118388239927,0.10860035754185575,0.062491501157472686,0.43143801219099476,False
baseline,0.7,0.7955506301237514,0.022070794380758967,0.45977162357264734,0.0782182721967024,0.03817023388359026,0.5163527256958141,False
mitigated,0.3,0.7861090932723684,0.09075040700894581,0.20855755348470928,0.27656742886051167,0.20264094638002975,0.2041847562919335,False
mitigated,0.4,0.7993238578270204,0.06607811214984642,0.27011418821367633,0.20268048063338537,0.14508845835905834,0.2809089455905066,False
mitigated,0.5,0.8062520214119919,0.0468437924841812,0.3312770704816905,0.1302203103334867,0.10026424288146414,0.35905068024635495,False
mitigated,0.6,0.8045685900948614,0.03199006394656014,0.3978212363827274,0.08660437124197862,0.06321122192844034,0.445139947255495,False
mitigated,0.7,0.7922829326102947,0.020778436078615667,0.4723717023231395,0.04882840968565649,0.03503527003855559,0.5369949460292119,False
