subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8709,7555,1154,655,383,7172,499,0.05069490403706155,0.04597252879215987,0.05587395959030745,0.4324090121317158,0.4040966744593478,0.46116985334412885,0.6310211946050096,0.5675909878682842,0.5976277372262774,True,True
male,7282,6173,1109,649,359,5814,460,0.05815648793131378,0.052588299931489224,0.06427425249648111,0.4147880973850316,0.38613390905913253,0.4440305779826353,0.6438492063492064,0.5852119026149685,0.613131790269249,True,True
christian,6671,6068,603,306,204,5864,297,0.03361898483849703,0.02937074090952967,0.03845735730644124,0.4925373134328358,0.452807519686089,0.5323615885394924,0.6,0.5074626865671642,0.549865229110512,True,True
white,4216,3037,1179,718,336,2701,461,0.11063549555482384,0.09996746762054316,0.12228728257705528,0.39100932994062765,0.3635521481873696,0.4191744394854774,0.681214421252372,0.6089906700593724,0.6430810568741604,True,True
muslim,3556,2724,832,468,232,2492,364,0.08516886930983847,0.07526188523456284,0.09624421799144806,0.4375,0.4041552778011141,0.4714192119511223,0.6685714285714286,0.5625,0.6109660574412533,True,True
black,2470,1692,778,495,211,1481,283,0.12470449172576832,0.10980726356623308,0.14130197580619544,0.36375321336760924,0.3306946463764194,0.39815063599096184,0.7011331444759207,0.6362467866323908,0.6671159029649596,True,True
homosexual_gay_or_lesbian,1851,1333,518,277,170,1163,241,0.1275318829707427,0.11068915819103778,0.14651520703265655,0.46525096525096526,0.4227105654434819,0.5083029648318699,0.6196868008948546,0.5347490347490348,0.5740932642487047,True,True
jewish,1214,1029,185,92,71,958,93,0.06899902818270165,0.05506206097397373,0.08614204888739546,0.5027027027027027,0.43133562686719673,0.5739598204686,0.5644171779141104,0.4972972972972973,0.5287356321839081,True,True
psychiatric_or_mental_illness,792,628,164,113,45,583,51,0.07165605095541401,0.05398177607343538,0.09453880216757671,0.31097560975609756,0.24513922138048438,0.3854645612866162,0.7151898734177216,0.6890243902439024,0.7018633540372671,True,True
asian,772,674,98,61,27,647,37,0.040059347181008904,0.027675127304673725,0.057656712564381304,0.37755102040816324,0.2879054514692203,0.476434137948334,0.6931818181818182,0.6224489795918368,0.6559139784946236,True,False
transgender,390,317,73,35,23,294,38,0.07255520504731862,0.04883084710813372,0.10651522008622034,0.5205479452054794,0.40781596889792504,0.6312254554326613,0.603448275862069,0.4794520547945205,0.5343511450381679,True,False
latino,360,296,64,33,17,279,31,0.057432432432432436,0.036163749772400694,0.09004114187109752,0.484375,0.3663355166543264,0.6041839852141988,0.66,0.515625,0.5789473684210525,True,False
atheist,255,220,35,20,5,215,15,0.022727272727272728,0.009745892238452594,0.05209010049326776,0.42857142857142855,0.2798456817718069,0.5914258885602508,0.8,0.5714285714285714,0.6666666666666666,True,False
heterosexual,207,155,52,23,16,139,29,0.1032258064516129,0.06454294737589386,0.16110002447034963,0.5576923076923077,0.4233976178720289,0.6840494318059871,0.5897435897435898,0.4423076923076923,0.5054945054945056,True,False
buddhist,100,91,9,4,3,88,5,0.03296703296703297,0.01127440676768262,0.09249306942962307,0.5555555555555556,0.26665129349549316,0.8112214789023353,0.5714285714285714,0.4444444444444444,0.5,False,False
hindu,81,76,5,3,3,73,2,0.039473684210526314,0.013514635094539595,0.10974787746545529,0.4,0.11762077423264794,0.769275718723987,0.5,0.6,0.5454545454545454,False,False
other_race_or_ethnicity,77,59,18,9,0,59,9,0.0,0.0,0.061129370526788365,0.5,0.29031021505169974,0.7096897849483003,1.0,0.5,0.6666666666666666,False,False
other_religion,65,57,8,3,6,51,5,0.10526315789473684,0.049144658523744666,0.2112281058338703,0.625,0.3057423946026274,0.8631557141764026,0.3333333333333333,0.375,0.35294117647058826,False,False
bisexual,52,42,10,6,8,34,4,0.19047619047619047,0.09982008281647739,0.3330077401003868,0.4,0.1681803297062362,0.6873262302663417,0.42857142857142855,0.6,0.5,False,False
intellectual_or_learning_disability,24,21,3,1,0,21,2,0.0,0.0,0.15463901892484688,0.6666666666666666,0.20765960080204782,0.9385080552796038,1.0,0.3333333333333333,0.5,False,False
physical_disability,14,14,0,0,0,14,0,0.0,0.0,0.21531080273763575,,,,,,,False,False
other_sexual_orientation,4,2,2,2,0,2,0,0.0,0.0,0.6576197724933468,0.0,0.0,0.6576197724933468,1.0,1.0,1.0,False,False
other_gender,2,2,0,0,0,2,0,0.0,0.0,0.6576197724933468,,,,,,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
