subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8953,7736,1217,686,360,7376,531,0.04653567735263702,0.04206259927709077,0.05145888467989257,0.4363188167625308,0.4086997487795045,0.46433863889965693,0.655831739961759,0.5636811832374692,0.6062748563853293,True,True
male,7242,6148,1094,637,331,5817,457,0.05383864671437866,0.04847042175037676,0.059764074095739486,0.41773308957952465,0.38884601384664563,0.44719588587049863,0.6580578512396694,0.5822669104204753,0.6178467507274491,True,True
christian,6740,6091,649,324,208,5883,325,0.03414874404859629,0.029873498913165084,0.039011222971287396,0.5007704160246533,0.46241161287670013,0.5391201525871636,0.6090225563909775,0.49922958397534667,0.5486875529212532,True,True
white,4096,2939,1157,722,379,2560,435,0.12895542701599183,0.11732119074513318,0.14155835457906252,0.3759723422644771,0.3485158777530848,0.4042496719098597,0.6557674841053588,0.6240276577355229,0.6395039858281666,True,True
muslim,3488,2680,808,459,230,2450,349,0.08582089552238806,0.07580017958380415,0.09702726418946199,0.4319306930693069,0.39817749118776036,0.4663280735319949,0.6661828737300436,0.568069306930693,0.6132264529058116,True,True
black,2448,1640,808,484,208,1432,324,0.12682926829268293,0.11159061555561871,0.14381203082969143,0.400990099009901,0.36774242264144413,0.43517476240547265,0.6994219653179191,0.599009900990099,0.6453333333333333,True,True
homosexual_gay_or_lesbian,1743,1250,493,293,142,1108,200,0.1136,0.09717968481427176,0.13238798244999672,0.4056795131845842,0.363226751312449,0.4495908017541865,0.6735632183908046,0.5943204868154158,0.6314655172413793,True,True
jewish,1277,1072,205,90,71,1001,115,0.06623134328358209,0.05283945927577103,0.08272090384739886,0.5609756097560976,0.4925383204777709,0.6271697113525583,0.5590062111801242,0.43902439024390244,0.4918032786885246,True,True
psychiatric_or_mental_illness,834,677,157,106,39,638,51,0.05760709010339734,0.042424417342113455,0.0777819210945237,0.3248407643312102,0.2565285640675833,0.4015197998103275,0.7310344827586207,0.6751592356687898,0.7019867549668874,True,True
asian,747,654,93,52,36,618,41,0.05504587155963303,0.0400232493198792,0.07526510443735335,0.44086021505376344,0.3442938512937852,0.5421184339613663,0.5909090909090909,0.5591397849462365,0.5745856353591161,True,False
transgender,401,318,83,38,22,296,45,0.06918238993710692,0.04612764578440958,0.10252150276219762,0.5421686746987951,0.435500430453311,0.6451062301792936,0.6333333333333333,0.4578313253012048,0.5314685314685315,True,False
latino,305,242,63,39,20,222,24,0.08264462809917356,0.05413486830049187,0.12419737488990566,0.38095238095238093,0.27117468465679717,0.5044136961976913,0.6610169491525424,0.6190476190476191,0.6393442622950819,True,False
atheist,261,222,39,23,7,215,16,0.03153153153153153,0.015356203232730306,0.06364372403420819,0.41025641025641024,0.2707931000072517,0.5658137711710303,0.7666666666666667,0.5897435897435898,0.6666666666666667,True,False
heterosexual,207,160,47,22,16,144,25,0.1,0.06249443583333064,0.15626252030387353,0.5319148936170213,0.3923238322019481,0.6666831292343925,0.5789473684210527,0.46808510638297873,0.5176470588235293,True,False
hindu,91,77,14,8,3,74,6,0.03896103896103896,0.013337950040590955,0.10839981872632876,0.42857142857142855,0.21380798904474121,0.6740935542034925,0.7272727272727273,0.5714285714285714,0.64,False,False
buddhist,85,74,11,9,2,72,2,0.02702702702702703,0.007443352638267217,0.093292925169125,0.18181818181818182,0.051367689746085105,0.47698056196084415,0.8181818181818182,0.8181818181818182,0.8181818181818182,False,False
other_race_or_ethnicity,70,50,20,11,0,50,9,0.0,0.0,0.0713475991333587,0.45,0.25819785825562425,0.6579146575496576,1.0,0.55,0.7096774193548387,False,False
bisexual,56,50,6,4,4,46,2,0.08,0.03154951408859297,0.18838246918342832,0.3333333333333333,0.09677141110578047,0.700006684861608,0.5,0.6666666666666666,0.5714285714285715,False,False
other_religion,54,48,6,3,0,48,3,0.0,0.0,0.07410012966611745,0.5,0.18761630648265054,0.8123836935173494,1.0,0.5,0.6666666666666666,False,False
intellectual_or_learning_disability,19,17,2,1,0,17,1,0.0,0.0,0.18431813500885175,0.5,0.09453120573423074,0.9054687942657693,1.0,0.5,0.6666666666666666,False,False
physical_disability,8,8,0,0,0,8,0,0.0,0.0,0.3244075648838801,,,,,,,False,False
other_gender,2,1,1,1,0,1,0,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
other_sexual_orientation,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
