model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.805013367838171,0.057384065389973316,0.2900643129019556,0.13999614133475996,0.11879093260267691,0.3110007015704185,False
baseline,0.4,0.8060730189042122,0.04063375908427183,0.3579209870061688,0.10051383801383801,0.07843718124470325,0.3979229946271387,False
baseline,0.5,0.8000845682773376,0.028851479498497843,0.4218401365008531,0.07671448921448921,0.05222480305499322,0.47616019272517524,False
baseline,0.6,0.7882717991941453,0.020660948960239,0.4819530122063263,0.05505698005698005,0.03652917935434851,0.5495186013610978,False
baseline,0.7,0.7703540554737855,0.014232725197630117,0.5444284026775167,0.032570207570207566,0.024428510764701202,0.6152911625218461,False
mitigated,0.3,0.7985315432418998,0.05521894563703194,0.3178894868092926,0.18443208319543297,0.11422392943550887,0.34853492631555244,False
mitigated,0.4,0.7990232138486861,0.03913999429348282,0.38272739204620027,0.11295928021161161,0.0753938781242651,0.43516889700682443,False
mitigated,0.5,0.7946097506180859,0.026921333982309798,0.44284026775167346,0.07704008954008955,0.047217056459800975,0.5135066848575911,False
mitigated,0.6,0.7809088128419805,0.018781155066212384,0.5054469090431816,0.05356634106634107,0.031243084859715133,0.5855359380460661,False
mitigated,0.7,0.7627661215329948,0.012571121666303016,0.5656910355689723,0.03422364672364672,0.01831442621363641,0.6489518301519457,False
