model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.7985923758153057,0.06116043705208036,0.29295183094894345,0.17285622179239202,0.12182224652702874,0.31776379437133023,False
baseline,0.4,0.801922350847285,0.0481361507863245,0.33783961149757186,0.1323017408123791,0.09288680078469366,0.3722649894235564,False
baseline,0.5,0.8025682122040186,0.038703613568083786,0.37524609528809555,0.10480461024346996,0.07336901852470049,0.4234362493297318,False
baseline,0.6,0.7978329197375886,0.03133549285846159,0.4173776086100538,0.0883891427402305,0.0576244860553204,0.4736952840738926,False
baseline,0.7,0.7920484279099421,0.023749181786139877,0.4613466334164589,0.0665592091124006,0.03985142097393714,0.5255129036004036,False
mitigated,0.3,0.7917908913468166,0.05881069468454709,0.3223520147000919,0.1999744851945756,0.11418452774003311,0.3743915410813021,False
mitigated,0.4,0.795174556087235,0.047229821587418806,0.3600210001312508,0.16198700871074923,0.0893883354054988,0.4226825278271387,False
mitigated,0.5,0.794587663432337,0.038015474731877615,0.39873999212495076,0.13529510460853167,0.06927602956478586,0.4731855226916351,False
mitigated,0.6,0.7920361692182465,0.03019418942280257,0.43614647591547445,0.11029873978507498,0.05246729525124645,0.5152367447278636,False
mitigated,0.7,0.7848792097969186,0.02296033970561085,0.4809030056437853,0.08389259735983476,0.03793461781859472,0.5681900962935414,False
