subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8953,7736,1217,660,313,7423,557,0.04046018614270941,0.036292719007125614,0.04508381333810694,0.45768282662284304,0.4298691620105054,0.4857627988343567,0.6783144912641316,0.5423171733771569,0.6027397260273972,True,True
male,7242,6148,1094,617,276,5872,477,0.044892648015614836,0.039994646445050144,0.05035902449094448,0.4360146252285192,0.4069042403539561,0.46557279275937835,0.6909294512877939,0.5639853747714808,0.6210367388022144,True,True
christian,6740,6091,649,263,134,5957,386,0.02199967164669184,0.01860612782042707,0.025995763903478967,0.5947611710323575,0.5565402510990212,0.6318669009562261,0.6624685138539043,0.4052388289676425,0.502868068833652,True,True
white,4096,2939,1157,631,256,2683,526,0.08710445729840081,0.07744103541804429,0.09784583138700981,0.4546240276577355,0.42612964963826905,0.48341872218963744,0.7113866967305524,0.5453759723422644,0.6174168297455969,True,True
muslim,3488,2680,808,425,176,2504,383,0.06567164179104477,0.05690122763773052,0.07568538907585669,0.474009900990099,0.43978517326180167,0.508480587813014,0.7071547420965059,0.525990099009901,0.6032647267565648,True,True
black,2448,1640,808,422,140,1500,386,0.08536585365853659,0.07279231707695998,0.09987729001782907,0.4777227722772277,0.4434681925223041,0.512188174113252,0.7508896797153025,0.5222772277227723,0.6160583941605839,True,True
homosexual_gay_or_lesbian,1743,1250,493,310,149,1101,183,0.1192,0.1023936806205233,0.13833967262542243,0.3711967545638945,0.3296995757067758,0.414685684932608,0.6753812636165577,0.6288032454361054,0.6512605042016806,True,True
jewish,1277,1072,205,78,42,1030,127,0.03917910447761194,0.02911464564821447,0.052534428293389675,0.6195121951219512,0.5514303310818919,0.6831974113055531,0.65,0.3804878048780488,0.48000000000000004,True,True
psychiatric_or_mental_illness,834,677,157,108,54,623,49,0.07976366322008863,0.061646462914715275,0.10262299713611368,0.31210191082802546,0.2448414543000335,0.3883376996780889,0.6666666666666666,0.6878980891719745,0.677115987460815,True,True
asian,747,654,93,51,20,634,42,0.03058103975535168,0.01988231909245041,0.046762095352465026,0.45161290322580644,0.35439761353554855,0.5526669834913935,0.7183098591549296,0.5483870967741935,0.6219512195121951,True,False
transgender,401,318,83,45,24,294,38,0.07547169811320754,0.05123847590474018,0.10983915222512824,0.4578313253012048,0.3548937698207063,0.564499569546689,0.6521739130434783,0.5421686746987951,0.5921052631578948,True,False
latino,305,242,63,34,13,229,29,0.05371900826446281,0.03165909521092873,0.08972587770553594,0.4603174603174603,0.34308864576044984,0.5821074811910463,0.723404255319149,0.5396825396825397,0.6181818181818182,True,False
atheist,261,222,39,22,2,220,17,0.009009009009009009,0.002474081989044391,0.03224699562726615,0.4358974358974359,0.2930475387568963,0.5902430835133052,0.9166666666666666,0.5641025641025641,0.6984126984126983,True,False
heterosexual,207,160,47,28,16,144,19,0.1,0.06249443583333064,0.15626252030387353,0.40425531914893614,0.27640034519208756,0.5465787704988904,0.6363636363636364,0.5957446808510638,0.6153846153846154,True,False
hindu,91,77,14,5,1,76,9,0.012987012987012988,0.0022962172971240508,0.06996198914680522,0.6428571428571429,0.3876442310390741,0.8365526824644588,0.8333333333333334,0.35714285714285715,0.5,False,False
buddhist,85,74,11,7,1,73,4,0.013513513513513514,0.002389463403456825,0.0726535651984323,0.36363636363636365,0.1516647109536758,0.6461988254921511,0.875,0.6363636363636364,0.7368421052631579,False,False
other_race_or_ethnicity,70,50,20,9,0,50,11,0.0,0.0,0.0713475991333587,0.55,0.3420853424503424,0.7418021417443758,1.0,0.45,0.6206896551724138,False,False
bisexual,56,50,6,4,5,45,2,0.1,0.043475764931890426,0.21360231437479654,0.3333333333333333,0.09677141110578047,0.700006684861608,0.4444444444444444,0.6666666666666666,0.5333333333333333,False,False
other_religion,54,48,6,2,1,47,4,0.020833333333333332,0.003687110977510656,0.10899217995251859,0.6666666666666666,0.2999933151383921,0.9032285888942196,0.6666666666666666,0.3333333333333333,0.4444444444444444,False,False
intellectual_or_learning_disability,19,17,2,1,0,17,1,0.0,0.0,0.18431813500885175,0.5,0.09453120573423074,0.9054687942657693,1.0,0.5,0.6666666666666666,False,False
physical_disability,8,8,0,0,0,8,0,0.0,0.0,0.3244075648838801,,,,,,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
