model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.805013367838171,0.057384065389973316,0.2900643129019556,0.13999614133475996,0.11879093260267691,0.3110007015704185,False
baseline,0.4,0.8060730189042122,0.04063375908427183,0.3579209870061688,0.10051383801383801,0.07843718124470325,0.3979229946271387,False
baseline,0.5,0.8000845682773376,0.028851479498497843,0.4218401365008531,0.07671448921448921,0.05222480305499322,0.47616019272517524,False
baseline,0.6,0.7882717991941453,0.020660948960239,0.4819530122063263,0.05505698005698005,0.03652917935434851,0.5495186013610978,False
baseline,0.7,0.7703540554737855,0.014232725197630117,0.5444284026775167,0.032570207570207566,0.024428510764701202,0.6152911625218461,False
mitigated,0.3,0.709803758921675,0.18821436363941524,0.10815067594172463,0.39636414687261445,0.3372214572343415,0.11813603213614925,False
mitigated,0.4,0.7333224958287377,0.15588862221177893,0.13741960887255544,0.34338963646410103,0.28586442215138197,0.14881206246322307,False
mitigated,0.5,0.752189560038709,0.1309310014937648,0.1638010237563985,0.2965253015996001,0.24374227725982747,0.17853938064436467,False
mitigated,0.6,0.7682758595571815,0.10833990701733774,0.19661372883580522,0.2498077804922401,0.20211797926264224,0.21551491743607284,False
mitigated,0.7,0.781759464126839,0.08670549336197782,0.239270245439034,0.19879818060749488,0.16043546875440132,0.26566104112543687,False
