subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8765,7565,1200,722,463,7102,478,0.06120290812954395,0.056020879815737695,0.06683034700406325,0.3983333333333333,0.37100141680820153,0.4263140866476878,0.6092827004219409,0.6016666666666667,0.6054507337526205,True,True
male,7296,6187,1109,711,418,5769,398,0.0675610150315177,0.061571409830284585,0.07408728283807478,0.35888187556357076,0.33118250978244435,0.38755550314916054,0.6297608503100088,0.6411181244364292,0.6353887399463808,True,True
christian,6738,6130,608,335,245,5885,273,0.0399673735725938,0.03534497181348334,0.045165987287119375,0.44901315789473684,0.40991995126062053,0.48874660834208583,0.5775862068965517,0.5509868421052632,0.563973063973064,True,True
white,4146,2986,1160,804,514,2472,356,0.17213663764233086,0.15902001821508804,0.18609575900331032,0.30689655172413793,0.2810292881883473,0.3340385575181008,0.6100151745068285,0.6931034482758621,0.6489104116222759,True,True
muslim,3480,2676,804,537,350,2326,267,0.13079222720478326,0.11854475827063898,0.1440981889470037,0.332089552238806,0.3004014996759182,0.365374504944899,0.6054114994363021,0.667910447761194,0.6351271437019514,True,True
black,2427,1669,758,528,341,1328,230,0.2043139604553625,0.1856595481444221,0.22432638041105074,0.3034300791556728,0.27176039600628804,0.3370821045563693,0.6075949367088608,0.6965699208443272,0.6490473263675476,True,True
homosexual_gay_or_lesbian,1759,1274,485,318,172,1102,167,0.13500784929356358,0.11733620151423087,0.1548739826362452,0.3443298969072165,0.30341487808813183,0.38769151791133993,0.6489795918367347,0.6556701030927835,0.6523076923076923,True,True
jewish,1290,1091,199,127,76,1015,72,0.06966086159486709,0.05601586062535076,0.08632571546782931,0.36180904522613067,0.2982464661952951,0.430605809272619,0.625615763546798,0.6381909547738693,0.6318407960199005,True,True
psychiatric_or_mental_illness,785,643,142,101,63,580,41,0.09797822706065319,0.0773318197293325,0.1233996841810971,0.2887323943661972,0.22053878709052577,0.3680555640276467,0.6158536585365854,0.7112676056338029,0.6601307189542484,True,True
asian,750,647,103,60,41,606,43,0.0633693972179289,0.047053009227747675,0.0848400311698883,0.4174757281553398,0.3268873640675524,0.5139983727274672,0.594059405940594,0.5825242718446602,0.5882352941176471,True,True
transgender,413,330,83,41,44,286,42,0.13333333333333333,0.1008444662316213,0.1742605466242627,0.5060240963855421,0.4006039542338164,0.6109112829994128,0.4823529411764706,0.4939759036144578,0.4880952380952381,True,False
latino,325,257,68,40,20,237,28,0.07782101167315175,0.05093939450307642,0.11713763979549083,0.4117647058823529,0.302580197505184,0.5303853324689461,0.6666666666666666,0.5882352941176471,0.625,True,False
atheist,258,216,42,25,9,207,17,0.041666666666666664,0.022073333531039598,0.07727762118814435,0.40476190476190477,0.2704286114748133,0.5550568724996063,0.7352941176470589,0.5952380952380952,0.6578947368421053,True,False
heterosexual,219,171,48,30,16,155,18,0.0935672514619883,0.05841570412115571,0.1465783462742414,0.375,0.25215266760868205,0.5163723648078473,0.6521739130434783,0.625,0.6382978723404256,True,False
buddhist,131,117,14,9,8,109,5,0.06837606837606838,0.03505171056757552,0.12914242457717723,0.35714285714285715,0.1634473175355414,0.612355768960926,0.5294117647058824,0.6428571428571429,0.5806451612903226,True,False
hindu,111,99,12,8,10,89,4,0.10101010101010101,0.055796675028805004,0.17603063561117846,0.3333333333333333,0.1381200910912132,0.6093779111272004,0.4444444444444444,0.6666666666666666,0.5333333333333333,False,False
other_race_or_ethnicity,74,60,14,11,9,51,3,0.15,0.08097440580167742,0.26114589069778543,0.21428571428571427,0.07571386712693182,0.47589230586600284,0.55,0.7857142857142857,0.6470588235294117,False,False
other_religion,45,40,5,2,4,36,3,0.1,0.03957952868260638,0.23051775227522292,0.6,0.23072428127601297,0.8823792257673521,0.3333333333333333,0.4,0.3636363636363636,False,False
bisexual,40,35,5,4,4,31,1,0.11428571428571428,0.0453517933309736,0.25951468646213804,0.2,0.036224108632430085,0.6244653702374746,0.5,0.8,0.6153846153846154,False,False
physical_disability,18,18,0,0,0,18,0,0.0,0.0,0.1758792236466576,,,,,,,False,False
intellectual_or_learning_disability,10,10,0,0,0,10,0,0.0,2.7755575615628914e-17,0.27753279986288915,,,,,,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
other_disability,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
