subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8709,7555,1154,866,920,6635,288,0.12177365982792852,0.11459111625600514,0.12934063821531622,0.24956672443674177,0.225456595174114,0.27533861681569055,0.48488241881298993,0.7504332755632582,0.5891156462585034,True,True
male,7282,6173,1109,853,860,5313,256,0.13931637777417788,0.13090227417274458,0.14817910913830068,0.2308385933273219,0.20699349900348954,0.2565419441919358,0.4979568009340339,0.7691614066726781,0.6045357902197023,True,True
christian,6671,6068,603,427,552,5516,176,0.09096901779828609,0.08399007901962563,0.09846551807296794,0.29187396351575456,0.2569962250189562,0.32938668216114814,0.43615934627170583,0.7081260364842454,0.5398230088495575,True,True
white,4216,3037,1179,950,878,2159,229,0.28910108659861705,0.27325217728960527,0.30548284808169435,0.19423240033927056,0.17265855174834813,0.21779230316263473,0.5196936542669585,0.8057675996607294,0.6318589956767543,True,True
muslim,3556,2724,832,641,621,2103,191,0.22797356828193832,0.21260864761283813,0.2441046466265194,0.22956730769230768,0.20227237482298857,0.2593480135280341,0.5079239302694136,0.7704326923076923,0.6122254059216811,True,True
black,2470,1692,778,636,515,1177,142,0.30437352245862886,0.282912033987038,0.32672128606378703,0.18251928020565553,0.15695844019651484,0.21119990645200576,0.5525629887054735,0.8174807197943444,0.6594090202177294,True,True
homosexual_gay_or_lesbian,1851,1333,518,422,405,928,96,0.3038259564891223,0.27972967392282067,0.3290496644578361,0.18532818532818532,0.15422611453110868,0.22106307629568922,0.5102781136638452,0.8146718146718147,0.6275092936802974,True,True
jewish,1214,1029,185,130,165,864,55,0.16034985422740525,0.13919982730191302,0.18402641034532155,0.2972972972972973,0.23610048720406548,0.36674096261118483,0.4406779661016949,0.7027027027027027,0.5416666666666666,True,True
psychiatric_or_mental_illness,792,628,164,134,100,528,30,0.1592356687898089,0.13270234516241264,0.18991253864270474,0.18292682926829268,0.1312472092108143,0.24912042623077385,0.5726495726495726,0.8170731707317073,0.6733668341708542,True,True
asian,772,674,98,75,66,608,23,0.09792284866468842,0.07771154610684469,0.12269144939158727,0.23469387755102042,0.16178478951873157,0.327617654219303,0.5319148936170213,0.7653061224489796,0.6276150627615062,True,False
transgender,390,317,73,57,66,251,16,0.2082018927444795,0.16713089911920398,0.25626032756328865,0.2191780821917808,0.1396612063595069,0.3267726611224791,0.4634146341463415,0.7808219178082192,0.5816326530612245,True,False
latino,360,296,64,43,55,241,21,0.1858108108108108,0.14562734669888242,0.23404482828466974,0.328125,0.22570557904469182,0.450008941509085,0.4387755102040816,0.671875,0.5308641975308642,True,False
atheist,255,220,35,29,18,202,6,0.08181818181818182,0.05237862748259901,0.12561100424424165,0.17142857142857143,0.08102640053701593,0.3268228229904496,0.6170212765957447,0.8285714285714286,0.7073170731707318,True,False
heterosexual,207,155,52,36,40,115,16,0.25806451612903225,0.19561676753450546,0.33221431285954545,0.3076923076923077,0.19914727949289038,0.44269588824705663,0.47368421052631576,0.6923076923076923,0.5625,True,False
buddhist,100,91,9,6,8,83,3,0.08791208791208792,0.045220207808304096,0.1639863888363774,0.3333333333333333,0.12058381838691101,0.6457978644196037,0.42857142857142855,0.6666666666666666,0.5217391304347826,False,False
hindu,81,76,5,3,8,68,2,0.10526315789473684,0.05431126182821913,0.19419946322320508,0.4,0.11762077423264794,0.769275718723987,0.2727272727272727,0.6,0.37499999999999994,False,False
other_race_or_ethnicity,77,59,18,10,8,51,8,0.13559322033898305,0.07034174672533722,0.24539660806537295,0.4444444444444444,0.2455951812700564,0.6628358435795721,0.5555555555555556,0.5555555555555556,0.5555555555555556,False,False
other_religion,65,57,8,4,10,47,4,0.17543859649122806,0.09818852239709963,0.2936735282969393,0.5,0.21521606221387762,0.7847839377861223,0.2857142857142857,0.5,0.36363636363636365,False,False
bisexual,52,42,10,9,8,34,1,0.19047619047619047,0.09982008281647739,0.3330077401003868,0.1,0.017876213095072924,0.40415002679523837,0.5294117647058824,0.9,0.6666666666666667,False,False
intellectual_or_learning_disability,24,21,3,3,0,21,0,0.0,0.0,0.15463901892484688,0.0,0.0,0.5614970317550454,1.0,1.0,1.0,False,False
physical_disability,14,14,0,0,2,12,0,0.14285714285714285,0.04009392127146494,0.3994137949697035,,,,0.0,,,False,False
other_sexual_orientation,4,2,2,2,1,1,0,0.5,0.09453120573423074,0.9054687942657693,0.0,0.0,0.6576197724933468,0.6666666666666666,1.0,0.8,False,False
other_gender,2,2,0,0,0,2,0,0.0,0.0,0.6576197724933468,,,,,,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
