model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.7985923758153057,0.06116043705208036,0.29295183094894345,0.17285622179239202,0.12182224652702874,0.31776379437133023,False
baseline,0.4,0.801922350847285,0.0481361507863245,0.33783961149757186,0.1323017408123791,0.09288680078469366,0.3722649894235564,False
baseline,0.5,0.8025682122040186,0.038703613568083786,0.37524609528809555,0.10480461024346996,0.07336901852470049,0.4234362493297318,False
baseline,0.6,0.7978329197375886,0.03133549285846159,0.4173776086100538,0.0883891427402305,0.0576244860553204,0.4736952840738926,False
baseline,0.7,0.7920484279099421,0.023749181786139877,0.4613466334164589,0.0665592091124006,0.03985142097393714,0.5255129036004036,False
mitigated,0.3,0.7379714158834593,0.15115556972860475,0.13794461215382597,0.3111797478044528,0.2810114505236473,0.15251237570275475,False
mitigated,0.4,0.7575225056746557,0.12582870378140681,0.16471977949862188,0.2675475687103594,0.228938508586104,0.18759946405773492,False
mitigated,0.5,0.7705328900765864,0.10632584213088064,0.1970074812967581,0.22255534064044705,0.18776692588665048,0.22712784237898084,False
mitigated,0.6,0.7824536263415485,0.08905523572951109,0.22745767161044755,0.18083611812043918,0.15249443003793942,0.26653269706170296,False
mitigated,0.7,0.7912301149594974,0.07180141320219532,0.2707704423152645,0.14729932483120778,0.11868254470391747,0.32366376604538183,False
