model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.8021505279678616,0.06963629344925396,0.24635778973618586,0.1915532456272121,0.14267233787197567,0.2558337704995931,False
baseline,0.4,0.8097838071343673,0.04910961548144543,0.3117206982543641,0.13209198209198209,0.0973392441433067,0.34123784503581506,False
baseline,0.5,0.8079284770376712,0.03452442892868532,0.37865861661635386,0.08656519118990688,0.06843944752690788,0.4286787867193309,False
baseline,0.6,0.7965501495204182,0.023933804400731777,0.45005906286914293,0.06771947699100017,0.04356182245780343,0.5116541130838673,False
baseline,0.7,0.7823215743089118,0.01643141269867911,0.5110906943168395,0.06109696043470878,0.030769683719526816,0.5846395066042759,False
mitigated,0.3,0.799153924202993,0.037897987613500946,0.3874524215776349,0.060650372712033745,0.05412254740689649,0.490801526545487,False
mitigated,0.4,0.7946664492884605,0.03056343465198637,0.4282714266964169,0.05039627598879554,0.04216766457033639,0.5333863303025121,False
mitigated,0.5,0.789054905490549,0.025041540088283177,0.46331539572122327,0.04812114850022356,0.034093597509030155,0.5700733209207155,False
mitigated,0.6,0.7821946711966434,0.020274919857001392,0.4970468565428534,0.04700530705079606,0.026161787603497168,0.6013632186653977,False
mitigated,0.7,0.7720313485297181,0.016129302965710544,0.5341908386927419,0.04094010614101592,0.020410531125243863,0.636406656336156,False
