subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8765,7565,1200,519,159,7406,681,0.021017845340383343,0.01802023537584761,0.024501656590276418,0.5675,0.5392978686687007,0.5952713462499302,0.7654867256637168,0.4325,0.5527156549520765,True,True
male,7296,6187,1109,523,158,6029,586,0.025537417165023436,0.021891247596427205,0.029772401189956246,0.5284039675383229,0.4989766000623521,0.5576352375903921,0.7679882525697503,0.4715960324616772,0.5843575418994413,True,True
christian,6738,6130,608,226,92,6038,382,0.01500815660685155,0.012254052514138521,0.018369735218518157,0.6282894736842105,0.5891832784654679,0.6657847328567547,0.710691823899371,0.3717105263157895,0.48812095032397407,True,True
white,4146,2986,1160,522,152,2834,638,0.050904219691895514,0.043581408679076214,0.05938106042191696,0.55,0.5212527422794214,0.5784171905287304,0.7744807121661721,0.45,0.569247546346783,True,True
muslim,3480,2676,804,346,101,2575,458,0.03774289985052317,0.031159827502299065,0.04565123090683454,0.5696517412935324,0.5351760765822712,0.6034649881676121,0.7740492170022372,0.43034825870646765,0.5531574740207833,True,True
black,2427,1669,758,342,99,1570,416,0.059316956261234274,0.04896416321970125,0.07169368977432165,0.5488126649076517,0.5132305797840295,0.5839024905460488,0.7755102040816326,0.45118733509234826,0.5704753961634695,True,True
homosexual_gay_or_lesbian,1759,1274,485,186,41,1233,299,0.03218210361067504,0.02381040054882463,0.04336652365264576,0.6164948453608248,0.5724659893798624,0.6586928003688773,0.8193832599118943,0.3835051546391753,0.5224719101123596,True,True
jewish,1290,1091,199,83,15,1076,116,0.013748854262144821,0.008349467572492253,0.022560449610536576,0.5829145728643216,0.5134707075981797,0.6492179271210716,0.8469387755102041,0.41708542713567837,0.5589225589225589,True,True
psychiatric_or_mental_illness,785,643,142,85,32,611,57,0.049766718506998445,0.03547014603806836,0.06941097729682277,0.4014084507042254,0.3244082206902531,0.4836024764982274,0.7264957264957265,0.5985915492957746,0.6563706563706564,True,True
asian,750,647,103,46,11,636,57,0.017001545595054096,0.009519430127350861,0.03018526057799864,0.5533980582524272,0.45719211142966193,0.6457641765265019,0.8070175438596491,0.44660194174757284,0.575,True,True
transgender,413,330,83,20,9,321,63,0.02727272727272727,0.014413328287995575,0.05101131638570611,0.7590361445783133,0.6569026394404472,0.8382525615884097,0.6896551724137931,0.24096385542168675,0.35714285714285715,True,False
latino,325,257,68,23,5,252,45,0.019455252918287938,0.008338048936670655,0.04472659379026994,0.6617647058823529,0.543372393866649,0.7628574678474458,0.8214285714285714,0.3382352941176471,0.47916666666666674,True,False
atheist,258,216,42,22,4,212,20,0.018518518518518517,0.007224468618003892,0.04663916058194692,0.47619047619047616,0.3335960123070546,0.6227753586865501,0.8461538461538461,0.5238095238095238,0.6470588235294118,True,False
heterosexual,219,171,48,17,2,169,31,0.011695906432748537,0.0032133213176278735,0.04163564570418019,0.6458333333333334,0.504390570103431,0.7656635587439515,0.8947368421052632,0.3541666666666667,0.5074626865671642,True,False
buddhist,131,117,14,5,1,116,9,0.008547008547008548,0.00151035357379644,0.04682950327418935,0.6428571428571429,0.3876442310390741,0.8365526824644588,0.8333333333333334,0.35714285714285715,0.5,True,False
hindu,111,99,12,5,4,95,7,0.04040404040404041,0.015822638994147556,0.09932021250254228,0.5833333333333334,0.3195113125495498,0.8067396863412434,0.5555555555555556,0.4166666666666667,0.4761904761904762,False,False
other_race_or_ethnicity,74,60,14,7,1,59,7,0.016666666666666666,0.0029481597947862564,0.08855129727590058,0.5,0.26799202452413634,0.7320079754758637,0.875,0.5,0.6363636363636364,False,False
other_religion,45,40,5,0,1,39,5,0.025,0.004426831502681396,0.12881368963474088,1.0,0.5655175352168254,1.0,0.0,0.0,,False,False
bisexual,40,35,5,3,1,34,2,0.02857142857142857,0.005061491855444203,0.14533087233613673,0.4,0.11762077423264794,0.769275718723987,0.75,0.6,0.6666666666666665,False,False
physical_disability,18,18,0,0,1,17,0,0.05555555555555555,0.00987519097830307,0.25757300781872583,,,,0.0,,,False,False
intellectual_or_learning_disability,10,10,0,0,0,10,0,0.0,2.7755575615628914e-17,0.27753279986288915,,,,,,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
other_disability,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
