model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.7986836630354579,0.06936775146439302,0.2581703635647723,0.20845690952073934,0.14170015712865974,0.28677243920195006,False
baseline,0.4,0.8066562064451508,0.05263422903274534,0.30555190969943563,0.16439931227165272,0.10202716525849485,0.3409111623645697,False
baseline,0.5,0.8071315407732162,0.04058340746211041,0.35529597059981627,0.12166344294003868,0.07622089399731455,0.3949201260023949,False
baseline,0.6,0.8041482049273596,0.030496299155771137,0.40504003150019685,0.08661078873844832,0.054907404001777314,0.459799577088126,False
baseline,0.7,0.794104250841182,0.02292677195750323,0.45977162357264734,0.06378680421233612,0.03781271775396966,0.5238107389525003,False
mitigated,0.3,0.8002722874768726,0.03924069753780567,0.3790523690773067,0.08010960670535139,0.05322598855100025,0.4743722087332078,False
mitigated,0.4,0.7972735520142186,0.03141941222873063,0.4184276151725948,0.06792392005157963,0.04050809186254494,0.5178899109435223,False
mitigated,0.5,0.7934410747038534,0.025696111176381733,0.4504528153300958,0.05373952288845906,0.033271952480286526,0.54487761946411,False
mitigated,0.6,0.7868348991784528,0.020996626441315183,0.4839217745110907,0.0446915968192564,0.025605787252702933,0.5786480773936432,False
mitigated,0.7,0.780833652698842,0.0164146288246253,0.5143719648247802,0.044326241134751775,0.019381407416582543,0.6067542825709933,False
