model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.805013367838171,0.057384065389973316,0.2900643129019556,0.13999614133475996,0.11879093260267691,0.3110007015704185,False
baseline,0.4,0.8060730189042122,0.04063375908427183,0.3579209870061688,0.10051383801383801,0.07843718124470325,0.3979229946271387,False
baseline,0.5,0.8000845682773376,0.028851479498497843,0.4218401365008531,0.07671448921448921,0.05222480305499322,0.47616019272517524,False
baseline,0.6,0.7882717991941453,0.020660948960239,0.4819530122063263,0.05505698005698005,0.03652917935434851,0.5495186013610978,False
baseline,0.7,0.7703540554737855,0.014232725197630117,0.5444284026775167,0.032570207570207566,0.024428510764701202,0.6152911625218461,False
mitigated,0.3,0.7987262409230553,0.045585001930145516,0.35713348208426304,0.13544468593585784,0.076625927717441,0.4392517956270102,False
mitigated,0.4,0.7972373892708899,0.03613568083785099,0.39952749704685653,0.10260124104421027,0.05953597687230277,0.48466385133341244,False
mitigated,0.5,0.7932032478230193,0.029741024823349727,0.43509646935293345,0.07995702653006564,0.04928559497020313,0.5241250584873803,False
mitigated,0.6,0.7864290329742356,0.02426948188180796,0.4723717023231395,0.06220053353728574,0.04043119697669028,0.5633578204529518,False
mitigated,0.7,0.7758611584152405,0.019318239035934274,0.5145032156450978,0.04828311901335438,0.03145166649564704,0.6043304876198744,False
