model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.8022158821897906,0.06448364411473456,0.26814542590891194,0.1943571464145198,0.13956466249743987,0.2915875271177033,False
baseline,0.4,0.8092548624594248,0.04568570517446837,0.3278645491534322,0.1349896480331263,0.09666612349495617,0.3583641489323131,False
baseline,0.5,0.8068289344816646,0.03262785116060489,0.38942118388239927,0.08918884691184109,0.06390635725046341,0.4312776327656565,False
baseline,0.6,0.7970782395919429,0.022893204209395612,0.4529465809161307,0.06212952564308252,0.0421962137630872,0.5107909435448694,False
baseline,0.7,0.782701109285556,0.015575435121934844,0.5134532090825568,0.03936467190758865,0.02657463049009805,0.5792917995797288,False
mitigated,0.3,0.8009177292366699,0.044275859753948404,0.3566084788029925,0.15106052124152516,0.07419536179954922,0.4351479276047272,False
mitigated,0.4,0.7999388692793502,0.03521256776489149,0.3963774773592335,0.12010054013583615,0.05615195230058094,0.4783704526030219,False
mitigated,0.5,0.7953701367328059,0.029338211846058306,0.4314214463840399,0.09862612973955825,0.046781872897681584,0.5146418842009682,False
mitigated,0.6,0.7907283148581017,0.024135210889377486,0.46292164326027035,0.0787849617626611,0.03655283860961561,0.5459652887820332,False
mitigated,0.7,0.7819265287360726,0.019519645524579982,0.5004593778711117,0.05750326553461466,0.029095312669563774,0.588262219065449,False
