model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.7992934378411413,0.06198284688071701,0.2874392964956031,0.161178826228106,0.1322308474430981,0.30434455490959655,False
baseline,0.4,0.8012139921412204,0.04939494134036018,0.33455834098963116,0.11790033473706944,0.1010642360641765,0.3625199035008572,False
baseline,0.5,0.7993003346868937,0.03950923952266662,0.38049612810080063,0.09061801893447254,0.07918922035176328,0.42257627060533953,False
baseline,0.6,0.7969061703278011,0.030664137896309226,0.42236513978212364,0.0816585991718668,0.057952755054931616,0.47733210635733936,False
baseline,0.7,0.7872164698574728,0.02403450764505463,0.47145294658091613,0.05703601953601954,0.0442204767972489,0.5334737891388005,False
mitigated,0.3,0.7935794618701588,0.03826723284268475,0.4003150019687623,0.0702376957530833,0.05494893244136354,0.4930424785211874,False
mitigated,0.4,0.7919477221438995,0.031050166999546835,0.43299645622785143,0.06129330625681417,0.0447532048316941,0.5261847998261665,False
mitigated,0.5,0.7872174866480388,0.02574646279854316,0.4648904055650348,0.04886228219305376,0.037484645912399736,0.561730600413076,False
mitigated,0.6,0.7802834205804978,0.021382655544552792,0.49717810736317103,0.045869117806353776,0.03144593473982697,0.590575324749304,False
mitigated,0.7,0.7726752926077003,0.017656635504607172,0.5273657960362252,0.036816613280101516,0.02582738772733003,0.6220706531609841,False
