model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.7985923758153057,0.06116043705208036,0.29295183094894345,0.17285622179239202,0.12182224652702874,0.31776379437133023,False
baseline,0.4,0.801922350847285,0.0481361507863245,0.33783961149757186,0.1323017408123791,0.09288680078469366,0.3722649894235564,False
baseline,0.5,0.8025682122040186,0.038703613568083786,0.37524609528809555,0.10480461024346996,0.07336901852470049,0.4234362493297318,False
baseline,0.6,0.7978329197375886,0.03133549285846159,0.4173776086100538,0.0883891427402305,0.0576244860553204,0.4736952840738926,False
baseline,0.7,0.7920484279099421,0.023749181786139877,0.4613466334164589,0.0665592091124006,0.03985142097393714,0.5255129036004036,False
mitigated,0.3,0.7981120081624382,0.03878753293835283,0.3865336658354115,0.07501611863313991,0.0514992405722929,0.4782369316503451,False
mitigated,0.4,0.7962294126350198,0.03170473808764539,0.4198713741960887,0.06142672031644274,0.04169276998827346,0.511101409901807,False
mitigated,0.5,0.7924955948207744,0.026535304879072186,0.4494028087675548,0.05167428220691536,0.03593820824039389,0.5452390312646761,False
mitigated,0.6,0.7875746108173396,0.022104362128866586,0.47801548759679746,0.042918547173866325,0.02886212672052757,0.5737227643331795,False
mitigated,0.7,0.7797918293804476,0.01809301623000621,0.5104344402152513,0.03405329894691597,0.023464220858101993,0.604379165873367,False
