model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.8045818181575781,0.05761903962672664,0.2903268145425909,0.1380092691420103,0.11876601142862978,0.3110788628711536,False
baseline,0.4,0.8056630157574716,0.040801597824809924,0.35831473946712167,0.10183658933658934,0.07850432169444196,0.398683735174152,False
baseline,0.5,0.8003496469415463,0.028885047246605462,0.42105263157894735,0.07671448921448921,0.05211432034498393,0.4744295978069702,False
baseline,0.6,0.7882471092630124,0.020778436078615667,0.4815592597453734,0.056379731379731374,0.03671057152304066,0.5483523436796002,False
baseline,0.7,0.7707458769782218,0.014299860693845354,0.5433783961149757,0.0329008954008954,0.02461693195248765,0.6145354690648539,False
mitigated,0.3,0.7930624239398806,0.038401503835115224,0.40110250689066806,0.0714446963565836,0.05522829677949752,0.4938823724074367,False
mitigated,0.4,0.791841328531262,0.03091589600711636,0.4337839611497572,0.06129330625681417,0.044673063448903316,0.5293323500309488,False
mitigated,0.5,0.7874096847464881,0.02559540793205888,0.4650216563853524,0.04886228219305376,0.037225328223520975,0.5618714443938937,False
mitigated,0.6,0.7797780908405407,0.021332303922391365,0.4984906155663473,0.045265617504603624,0.0315679559889877,0.5929523503638922,False
mitigated,0.7,0.77251372764204,0.017606283882445745,0.5278907993174957,0.036507710184786525,0.025395825286032687,0.6226530949188454,False
