subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8765,7565,1200,516,135,7430,684,0.01784534038334435,0.015097492671289655,0.021082609701123044,0.57,0.5418094323522907,0.5977438275633263,0.7926267281105991,0.43,0.5575364667747164,True,True
male,7296,6187,1109,510,144,6043,599,0.023274608049135285,0.019803003499653245,0.027337835231546894,0.5401262398557258,0.5107055568047527,0.5692698963872189,0.7798165137614679,0.4598737601442741,0.5785592739648326,True,True
christian,6738,6130,608,207,81,6049,401,0.013213703099510603,0.010644720710287997,0.01639240764297387,0.6595394736842105,0.6209768227884535,0.6960987810353364,0.71875,0.3404605263157895,0.4620535714285715,True,True
white,4146,2986,1160,497,141,2845,663,0.04722036168787676,0.0401768873776891,0.05542733202912878,0.571551724137931,0.5428844900928502,0.5997466206498496,0.7789968652037618,0.42844827586206896,0.5528364849833148,True,True
muslim,3480,2676,804,322,90,2586,482,0.033632286995515695,0.02744251525518508,0.04115910228288988,0.599502487562189,0.5652366233252383,0.6328220406031663,0.7815533980582524,0.40049751243781095,0.5296052631578948,True,True
black,2427,1669,758,336,101,1568,422,0.06051527860994608,0.05005391215338375,0.07299508196098173,0.5567282321899736,0.5211655891033674,0.5917187899288857,0.7688787185354691,0.44327176781002636,0.5623430962343096,True,True
homosexual_gay_or_lesbian,1759,1274,485,180,48,1226,305,0.03767660910518053,0.028534212127938236,0.0495986877959981,0.6288659793814433,0.5850152435847061,0.6706913822435455,0.7894736842105263,0.3711340206185567,0.5049088359046283,True,True
jewish,1290,1091,199,80,17,1074,119,0.015582034830430797,0.00975113607509975,0.024812278121376655,0.5979899497487438,0.5286348850271693,0.6636335014592188,0.8247422680412371,0.4020100502512563,0.5405405405405406,True,True
psychiatric_or_mental_illness,785,643,142,82,27,616,60,0.041990668740279936,0.029016708655251605,0.06040467587713333,0.4225352112676056,0.3443815308524195,0.5047697312242437,0.7522935779816514,0.5774647887323944,0.653386454183267,True,True
asian,750,647,103,41,15,632,62,0.023183925811437404,0.014099232205839593,0.03789723845848143,0.6019417475728155,0.5053868568583855,0.6911660565124726,0.7321428571428571,0.39805825242718446,0.5157232704402516,True,True
transgender,413,330,83,22,8,322,61,0.024242424242424242,0.01233411425484511,0.0470996627565085,0.7349397590361446,0.6311383922971717,0.8179558597987683,0.7333333333333333,0.26506024096385544,0.3893805309734513,True,False
latino,325,257,68,25,5,252,43,0.019455252918287938,0.008338048936670655,0.04472659379026994,0.6323529411764706,0.5135563563911616,0.7369953486476433,0.8333333333333334,0.36764705882352944,0.5102040816326531,True,False
atheist,258,216,42,20,3,213,22,0.013888888888888888,0.0047345172629760235,0.04003164683312817,0.5238095238095238,0.37722464131344974,0.6664039876929453,0.8695652173913043,0.47619047619047616,0.6153846153846153,True,False
heterosexual,219,171,48,19,3,168,29,0.017543859649122806,0.005984136416366335,0.05030376513212666,0.6041666666666666,0.4631040849254725,0.7297917213940862,0.8636363636363636,0.3958333333333333,0.5428571428571428,True,False
buddhist,131,117,14,5,2,115,9,0.017094017094017096,0.0047003826045815544,0.060190085428656656,0.6428571428571429,0.3876442310390741,0.8365526824644588,0.7142857142857143,0.35714285714285715,0.4761904761904762,True,False
hindu,111,99,12,5,4,95,7,0.04040404040404041,0.015822638994147556,0.09932021250254228,0.5833333333333334,0.3195113125495498,0.8067396863412434,0.5555555555555556,0.4166666666666667,0.4761904761904762,False,False
other_race_or_ethnicity,74,60,14,7,4,56,7,0.06666666666666667,0.0262286987245062,0.15925357313197164,0.5,0.26799202452413634,0.7320079754758637,0.6363636363636364,0.5,0.56,False,False
other_religion,45,40,5,0,0,40,5,0.0,6.938893903907228e-18,0.0876216011972866,1.0,0.5655175352168254,1.0,,0.0,,False,False
bisexual,40,35,5,3,0,35,2,0.0,6.938893903907228e-18,0.098900992324404,0.4,0.11762077423264794,0.769275718723987,1.0,0.6,0.7499999999999999,False,False
physical_disability,18,18,0,0,0,18,0,0.0,0.0,0.1758792236466576,,,,,,,False,False
intellectual_or_learning_disability,10,10,0,0,0,10,0,0.0,2.7755575615628914e-17,0.27753279986288915,,,,,,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
other_disability,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
