subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8765,7565,1200,541,170,7395,659,0.02247191011235955,0.01936647616892894,0.026062069360979448,0.5491666666666667,0.5209017526668074,0.5771177989405905,0.7609001406469761,0.4508333333333333,0.5661957090528519,True,True
male,7296,6187,1109,527,162,6025,582,0.026183934055277195,0.02248941550494759,0.03046646472577396,0.5247971145175834,0.49537094657697117,0.5540520862944719,0.7648766328011611,0.47520288548241657,0.5862068965517241,True,True
christian,6738,6130,608,229,100,6030,379,0.01631321370309951,0.0134315425867018,0.019800724694605653,0.6233552631578947,0.5841790482101239,0.6609825011381671,0.6960486322188449,0.37664473684210525,0.48879402347918893,True,True
white,4146,2986,1160,536,172,2814,624,0.05760214333556597,0.049799808525719656,0.06654129638286496,0.5379310344827586,0.5091626040787364,0.5664490690860685,0.7570621468926554,0.46206896551724136,0.5738758029978587,True,True
muslim,3480,2676,804,347,126,2550,457,0.04708520179372197,0.03968841660332464,0.05578046196730586,0.568407960199005,0.533926311630841,0.6022390198199372,0.733615221987315,0.43159203980099503,0.543461237274863,True,True
black,2427,1669,758,360,111,1558,398,0.0665068903535051,0.055520781190119696,0.07948391852595857,0.525065963060686,0.4894792946833097,0.560399849540244,0.7643312101910829,0.47493403693931396,0.5858421480878764,True,True
homosexual_gay_or_lesbian,1759,1274,485,201,56,1218,284,0.04395604395604396,0.03400392451196075,0.05665009052336526,0.5855670103092784,0.5412197909785811,0.6285694085713781,0.7821011673151751,0.4144329896907217,0.5417789757412399,True,True
jewish,1290,1091,199,87,22,1069,112,0.02016498625114574,0.013353848656141056,0.03034330807395431,0.5628140703517588,0.49335113116945833,0.6298978345269444,0.7981651376146789,0.4371859296482412,0.5649350649350648,True,True
psychiatric_or_mental_illness,785,643,142,81,33,610,61,0.05132192846034215,0.03677467593643023,0.07119839515896215,0.4295774647887324,0.35107193412557336,0.5117928495804841,0.7105263157894737,0.5704225352112676,0.6328124999999999,True,True
asian,750,647,103,42,18,629,61,0.027820710973724884,0.017669152850701086,0.04354615278284858,0.5922330097087378,0.4956761254395168,0.6821574628484024,0.7,0.4077669902912621,0.5153374233128835,True,True
transgender,413,330,83,25,14,316,58,0.04242424242424243,0.0254368187417626,0.06994216424367942,0.6987951807228916,0.5931097255309781,0.7868931031655866,0.6410256410256411,0.30120481927710846,0.4098360655737705,True,False
latino,325,257,68,25,7,250,43,0.027237354085603113,0.01325513623367509,0.05514449203614906,0.6323529411764706,0.5135563563911616,0.7369953486476433,0.78125,0.36764705882352944,0.5,True,False
atheist,258,216,42,22,3,213,20,0.013888888888888888,0.0047345172629760235,0.04003164683312817,0.47619047619047616,0.3335960123070546,0.6227753586865501,0.88,0.5238095238095238,0.6567164179104478,True,False
heterosexual,219,171,48,20,5,166,28,0.029239766081871343,0.012552802350976933,0.06661296825088593,0.5833333333333334,0.4428133228397629,0.7115033222158844,0.8,0.4166666666666667,0.547945205479452,True,False
buddhist,131,117,14,5,2,115,9,0.017094017094017096,0.0047003826045815544,0.060190085428656656,0.6428571428571429,0.3876442310390741,0.8365526824644588,0.7142857142857143,0.35714285714285715,0.4761904761904762,True,False
hindu,111,99,12,5,5,94,7,0.050505050505050504,0.021763234491416865,0.11282702686248855,0.5833333333333334,0.3195113125495498,0.8067396863412434,0.5,0.4166666666666667,0.45454545454545453,False,False
other_race_or_ethnicity,74,60,14,7,5,55,7,0.08333333333333333,0.03612045660173076,0.18068942018334405,0.5,0.26799202452413634,0.7320079754758637,0.5833333333333334,0.5,0.5384615384615384,False,False
other_religion,45,40,5,0,1,39,5,0.025,0.004426831502681396,0.12881368963474088,1.0,0.5655175352168254,1.0,0.0,0.0,,False,False
bisexual,40,35,5,2,2,33,3,0.05714285714285714,0.015813161857108654,0.18607057420164919,0.6,0.23072428127601297,0.8823792257673521,0.5,0.4,0.4444444444444445,False,False
physical_disability,18,18,0,0,0,18,0,0.0,0.0,0.1758792236466576,,,,,,,False,False
intellectual_or_learning_disability,10,10,0,0,0,10,0,0.0,2.7755575615628914e-17,0.27753279986288915,,,,,,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
other_disability,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
