subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8709,7555,1154,887,985,6570,267,0.13037723362011913,0.12297196775311903,0.13815818950363162,0.231369150779896,0.20795363403012015,0.256567181599082,0.4738247863247863,0.7686308492201039,0.5862524785194977,True,True
male,7282,6173,1109,861,917,5256,248,0.1485501376964199,0.1398968879396664,0.15764053002274667,0.2236248872858431,0.20007943822309,0.24907839540973364,0.484251968503937,0.7763751127141569,0.5964669206789054,True,True
christian,6671,6068,603,435,577,5491,168,0.09508899143045485,0.08796242611377332,0.10272790509352019,0.27860696517412936,0.24431179410461987,0.3157050832542958,0.4298418972332016,0.7213930348258707,0.5386996904024769,True,True
white,4216,3037,1179,979,961,2076,200,0.3164306881791241,0.30013062283289305,0.3331945553786596,0.16963528413910092,0.14929294686850708,0.1921234414472428,0.5046391752577319,0.8303647158608991,0.6277653093940365,True,True
muslim,3556,2724,832,648,659,2065,184,0.24192364170337738,0.22621228997310494,0.2583618609719266,0.22115384615384615,0.19427043147939327,0.25060036895366117,0.4957918898240245,0.7788461538461539,0.605890603085554,True,True
black,2470,1692,778,662,641,1051,116,0.37884160756501184,0.35602647143490707,0.4022056452128848,0.14910025706940874,0.1257978473989305,0.17585085152838173,0.5080583269378358,0.8508997429305912,0.6362325804901491,True,True
homosexual_gay_or_lesbian,1851,1333,518,432,454,879,86,0.34058514628657166,0.3156352029081415,0.3664512575350308,0.16602316602316602,0.13646148578920894,0.20050188852389564,0.48758465011286684,0.833976833976834,0.6153846153846154,True,True
jewish,1214,1029,185,129,184,845,56,0.17881438289601556,0.15660875942857597,0.20340918489878038,0.3027027027027027,0.241066937944843,0.3723654065420007,0.41214057507987223,0.6972972972972973,0.5180722891566265,True,True
psychiatric_or_mental_illness,792,628,164,136,103,525,28,0.16401273885350318,0.13711091232664993,0.19500002450923684,0.17073170731707318,0.120846131559082,0.2356894898610288,0.5690376569037657,0.8292682926829268,0.674937965260546,True,True
asian,772,674,98,76,77,597,22,0.1142433234421365,0.0923825950095762,0.14047636746124414,0.22448979591836735,0.15318242080683164,0.3165816553826658,0.49673202614379086,0.7755102040816326,0.6055776892430279,True,False
transgender,390,317,73,61,83,234,12,0.2618296529968454,0.21649179916300695,0.3128707696427031,0.1643835616438356,0.09661296691851536,0.26571043568190694,0.4236111111111111,0.8356164383561644,0.5622119815668203,True,False
latino,360,296,64,47,62,234,17,0.20945945945945946,0.16697261300815985,0.259390903643297,0.265625,0.17296379074222612,0.38482873728565126,0.43119266055045874,0.734375,0.5433526011560693,True,False
atheist,255,220,35,28,17,203,7,0.07727272727272727,0.048802386950411454,0.12025234946911229,0.2,0.1004244647379863,0.3589161306566562,0.6222222222222222,0.8,0.7000000000000001,True,False
heterosexual,207,155,52,40,53,102,12,0.3419354838709677,0.2718904152661786,0.41962589059126804,0.23076923076923078,0.13724260925492748,0.3613378255809983,0.43010752688172044,0.7692307692307693,0.5517241379310345,True,False
buddhist,100,91,9,6,7,84,3,0.07692307692307693,0.037759501322953234,0.15035927123225312,0.3333333333333333,0.12058381838691101,0.6457978644196037,0.46153846153846156,0.6666666666666666,0.5454545454545455,False,False
hindu,81,76,5,3,7,69,2,0.09210526315789473,0.04533400406377609,0.17812707848936227,0.4,0.11762077423264794,0.769275718723987,0.3,0.6,0.4,False,False
other_race_or_ethnicity,77,59,18,13,9,50,5,0.15254237288135594,0.08238463998596483,0.2651798378377356,0.2777777777777778,0.12499753379553999,0.5087265656029745,0.5909090909090909,0.7222222222222222,0.65,False,False
other_religion,65,57,8,5,12,45,3,0.21052631578947367,0.12474548303034588,0.3328612108319051,0.375,0.13684428582359742,0.6942576053973726,0.29411764705882354,0.625,0.4,False,False
bisexual,52,42,10,10,10,32,0,0.23809523809523808,0.13480964224647127,0.38527543868318304,0.0,2.7755575615628914e-17,0.27753279986288915,0.5,1.0,0.6666666666666666,False,False
intellectual_or_learning_disability,24,21,3,3,0,21,0,0.0,0.0,0.15463901892484688,0.0,0.0,0.5614970317550454,1.0,1.0,1.0,False,False
physical_disability,14,14,0,0,3,11,0,0.21428571428571427,0.07571386712693182,0.47589230586600284,,,,0.0,,,False,False
other_sexual_orientation,4,2,2,2,0,2,0,0.0,0.0,0.6576197724933468,0.0,0.0,0.6576197724933468,1.0,1.0,1.0,False,False
other_gender,2,2,0,0,1,1,0,0.5,0.09453120573423074,0.9054687942657693,,,,0.0,,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
