subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8709,7555,1154,653,386,7169,501,0.051091992058239576,0.04635115134014896,0.05628910947856894,0.4341421143847487,0.4058106296255014,0.46291060259327077,0.6284889316650626,0.5658578856152513,0.595531235750114,True,True
male,7282,6173,1109,650,364,5809,459,0.05896646687186133,0.05335986435242836,0.06512163848355669,0.4138863841298467,0.38524448897417574,0.44312279687226686,0.6410256410256411,0.5861136158701533,0.6123410268487989,True,True
christian,6671,6068,603,301,199,5869,302,0.032794990112063285,0.028601114154643566,0.03758003723838737,0.5008291873963516,0.4610425551771112,0.5406053216867133,0.602,0.49917081260364843,0.5457842248413418,True,True
white,4216,3037,1179,722,340,2697,457,0.11195258478761937,0.10122516221891274,0.12366043871797501,0.38761662425784565,0.3602142052508024,0.4157490077192538,0.67984934086629,0.6123833757421544,0.644355198572066,True,True
muslim,3556,2724,832,462,237,2487,370,0.08700440528634361,0.07699348699503492,0.09817851842909098,0.44471153846153844,0.4112759497994671,0.478655329596742,0.6609442060085837,0.5552884615384616,0.6035271064663618,True,True
black,2470,1692,778,498,216,1476,280,0.1276595744680851,0.11259789913862715,0.14440811787653818,0.35989717223650386,0.32693487570585517,0.39423621653984825,0.6974789915966386,0.6401028277634961,0.6675603217158177,True,True
homosexual_gay_or_lesbian,1851,1333,518,276,170,1163,242,0.1275318829707427,0.11068915819103778,0.14651520703265655,0.4671814671814672,0.4246157219000511,0.51023039002667,0.6188340807174888,0.5328185328185329,0.5726141078838175,True,True
jewish,1214,1029,185,90,72,957,95,0.06997084548104957,0.05593081968518241,0.08720969579093005,0.5135135135135135,0.441951021331933,0.5845262153470502,0.5555555555555556,0.4864864864864865,0.5187319884726225,True,True
psychiatric_or_mental_illness,792,628,164,115,46,582,49,0.0732484076433121,0.05536258139835537,0.09632334785291319,0.29878048780487804,0.23398580999907204,0.3727859586465512,0.7142857142857143,0.7012195121951219,0.7076923076923075,True,True
asian,772,674,98,61,27,647,37,0.040059347181008904,0.027675127304673725,0.057656712564381304,0.37755102040816324,0.2879054514692203,0.476434137948334,0.6931818181818182,0.6224489795918368,0.6559139784946236,True,False
transgender,390,317,73,34,25,292,39,0.07886435331230283,0.05398665009647969,0.11382663381825289,0.5342465753424658,0.42098945719045805,0.6440795833605193,0.576271186440678,0.4657534246575342,0.5151515151515152,True,False
latino,360,296,64,33,19,277,31,0.06418918918918919,0.041475003467027774,0.09807027151015744,0.484375,0.3663355166543264,0.6041839852141988,0.6346153846153846,0.515625,0.5689655172413792,True,False
atheist,255,220,35,19,5,215,16,0.022727272727272728,0.009745892238452594,0.05209010049326776,0.45714285714285713,0.3046601928840722,0.6181027493151625,0.7916666666666666,0.5428571428571428,0.6440677966101694,True,False
heterosexual,207,155,52,23,16,139,29,0.1032258064516129,0.06454294737589386,0.16110002447034963,0.5576923076923077,0.4233976178720289,0.6840494318059871,0.5897435897435898,0.4423076923076923,0.5054945054945056,True,False
buddhist,100,91,9,4,3,88,5,0.03296703296703297,0.01127440676768262,0.09249306942962307,0.5555555555555556,0.26665129349549316,0.8112214789023353,0.5714285714285714,0.4444444444444444,0.5,False,False
hindu,81,76,5,3,4,72,2,0.05263157894736842,0.020655429299384284,0.12765672575889647,0.4,0.11762077423264794,0.769275718723987,0.42857142857142855,0.6,0.5,False,False
other_race_or_ethnicity,77,59,18,9,0,59,9,0.0,0.0,0.061129370526788365,0.5,0.29031021505169974,0.7096897849483003,1.0,0.5,0.6666666666666666,False,False
other_religion,65,57,8,3,6,51,5,0.10526315789473684,0.049144658523744666,0.2112281058338703,0.625,0.3057423946026274,0.8631557141764026,0.3333333333333333,0.375,0.35294117647058826,False,False
bisexual,52,42,10,6,8,34,4,0.19047619047619047,0.09982008281647739,0.3330077401003868,0.4,0.1681803297062362,0.6873262302663417,0.42857142857142855,0.6,0.5,False,False
intellectual_or_learning_disability,24,21,3,1,0,21,2,0.0,0.0,0.15463901892484688,0.6666666666666666,0.20765960080204782,0.9385080552796038,1.0,0.3333333333333333,0.5,False,False
physical_disability,14,14,0,0,0,14,0,0.0,0.0,0.21531080273763575,,,,,,,False,False
other_sexual_orientation,4,2,2,2,0,2,0,0.0,0.0,0.6576197724933468,0.0,0.0,0.6576197724933468,1.0,1.0,1.0,False,False
other_gender,2,2,0,0,0,2,0,0.0,0.0,0.6576197724933468,,,,,,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
