model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.7995918367346939,0.06255349859854652,0.28415802598766243,0.20071937365179388,0.14002814861814514,0.3006864577643084,False
baseline,0.4,0.8030812435162084,0.04422550813178698,0.35096469352933457,0.14825517993456927,0.09747564298507286,0.38937840138132296,False
baseline,0.5,0.8001818276337794,0.03041237978550209,0.4152775954849718,0.1025014311750576,0.06347699424373515,0.46605769510696626,False
baseline,0.6,0.7921382424371035,0.020660948960239,0.4731592072450453,0.05840252525850735,0.039656946224639264,0.5359981317212295,False
baseline,0.7,0.7754843165033912,0.013813128346284889,0.5352408452552828,0.03527543890702972,0.023759408606790763,0.6042013198446579,False
mitigated,0.3,0.793786762451133,0.038200097346469515,0.40005250032812706,0.08524735236146946,0.054275269523003225,0.49327128560295386,False
mitigated,0.4,0.7898177726929798,0.030932679881170173,0.4386402415015094,0.06500280771252867,0.04273240917194873,0.5373236292792153,False
mitigated,0.5,0.7858170090289127,0.025259730450982697,0.4700091875574222,0.05317907778317363,0.0335316381288114,0.5716992148943594,False
mitigated,0.6,0.7795364533326185,0.02034205535321663,0.5026906418165114,0.057457922228670924,0.025905685179050952,0.607827122582518,False
mitigated,0.7,0.7713744423662751,0.016112519091656737,0.5356345977162357,0.04933255948926291,0.02055478666962495,0.6354129909025269,False
