model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.8045818181575781,0.05761903962672664,0.2903268145425909,0.1380092691420103,0.11876601142862978,0.3110788628711536,False
baseline,0.4,0.8056630157574716,0.040801597824809924,0.35831473946712167,0.10183658933658934,0.07850432169444196,0.398683735174152,False
baseline,0.5,0.8003496469415463,0.028885047246605462,0.42105263157894735,0.07671448921448921,0.05211432034498393,0.4744295978069702,False
baseline,0.6,0.7882471092630124,0.020778436078615667,0.4815592597453734,0.056379731379731374,0.03671057152304066,0.5483523436796002,False
baseline,0.7,0.7707458769782218,0.014299860693845354,0.5433783961149757,0.0329008954008954,0.02461693195248765,0.6145354690648539,False
mitigated,0.3,0.7978691573032746,0.04707876672093453,0.3533272082950518,0.10203593927963328,0.08570543730765269,0.41260928771773436,False
mitigated,0.4,0.7963758516511841,0.03749517463620953,0.3962462265389159,0.08001223633685037,0.06570978381970995,0.468222623459716,False
mitigated,0.5,0.7918161890019264,0.030697705644416845,0.4347027168919806,0.06497222325483154,0.05289802789476005,0.5056011628925379,False
mitigated,0.6,0.7863499982692378,0.02514224333260603,0.46922168263551645,0.06699162836760905,0.042205884696922706,0.5462486640099979,False
mitigated,0.7,0.7788307039122517,0.02012386499051711,0.5050531565822286,0.04888661931510453,0.03456249770351293,0.5778003306878206,False
