subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8765,7565,1200,610,233,7332,590,0.030799735624586915,0.027138228042517205,0.03493751517088344,0.49166666666666664,0.46345269778200987,0.5199338188947022,0.7236061684460261,0.5083333333333333,0.597161037689672,True,True
male,7296,6187,1109,611,226,5961,498,0.03652820429933732,0.03213383106356794,0.04149775227656307,0.44905320108205593,0.4200048389512619,0.47845329351286386,0.7299880525686977,0.5509467989179441,0.6279547790339157,True,True
christian,6738,6130,608,257,119,6011,351,0.019412724306688417,0.016247835469655164,0.02317957073969787,0.5773026315789473,0.5376720811258697,0.6159624897990592,0.6835106382978723,0.42269736842105265,0.5223577235772356,True,True
white,4146,2986,1160,638,264,2722,522,0.0884125920964501,0.07875160992368618,0.09913121969981911,0.45,0.42158280947126964,0.4787472577205785,0.7073170731707317,0.55,0.6188166828322018,True,True
muslim,3480,2676,804,413,172,2504,391,0.06427503736920777,0.055593502055263797,0.074205765612521,0.486318407960199,0.45191728686140853,0.5208496468484358,0.705982905982906,0.513681592039801,0.5946724262059037,True,True
black,2427,1669,758,428,175,1494,330,0.1048532055122828,0.09105148937492512,0.12046972619211511,0.43535620052770446,0.4004739376352081,0.47089037463036376,0.7097844112769486,0.5646437994722955,0.6289493019838354,True,True
homosexual_gay_or_lesbian,1759,1274,485,252,86,1188,233,0.06750392464678179,0.054986618806176175,0.08262157789686106,0.48041237113402063,0.4362765503564331,0.5248560425176726,0.7455621301775148,0.5195876288659794,0.6123936816524909,True,True
jewish,1290,1091,199,100,38,1053,99,0.034830430797433545,0.02548001487829106,0.04744511795938494,0.49748743718592964,0.4287277465661418,0.566342294806002,0.7246376811594203,0.5025125628140703,0.5934718100890207,True,True
psychiatric_or_mental_illness,785,643,142,86,35,608,56,0.05443234836702955,0.03939604433051066,0.07476092228588421,0.39436619718309857,0.31778349295783453,0.47651368260125165,0.7107438016528925,0.6056338028169014,0.6539923954372623,True,True
asian,750,647,103,52,21,626,51,0.03245749613601236,0.021325670471277508,0.0491084701315008,0.49514563106796117,0.40051577668777416,0.5901245607707564,0.7123287671232876,0.5048543689320388,0.5909090909090908,True,True
transgender,413,330,83,32,20,310,51,0.06060606060606061,0.03957221588292126,0.09175197307660918,0.6144578313253012,0.506901079362841,0.7118884280685143,0.6153846153846154,0.3855421686746988,0.47407407407407415,True,False
latino,325,257,68,30,5,252,38,0.019455252918287938,0.008338048936670655,0.04472659379026994,0.5588235294117647,0.4408186530458819,0.670537660304698,0.8571428571428571,0.4411764705882353,0.5825242718446603,True,False
atheist,258,216,42,24,5,211,18,0.023148148148148147,0.009927097915365966,0.053033996388431474,0.42857142857142855,0.29117651176186066,0.5779376012189541,0.8275862068965517,0.5714285714285714,0.676056338028169,True,False
heterosexual,219,171,48,23,8,163,25,0.04678362573099415,0.023893846793311385,0.08958872738860627,0.5208333333333334,0.3832923230334281,0.6552868382304838,0.7419354838709677,0.4791666666666667,0.5822784810126582,True,False
buddhist,131,117,14,7,2,115,7,0.017094017094017096,0.0047003826045815544,0.060190085428656656,0.5,0.26799202452413634,0.7320079754758637,0.7777777777777778,0.5,0.6086956521739131,True,False
hindu,111,99,12,7,6,93,5,0.06060606060606061,0.028069797446221498,0.12596787376489954,0.4166666666666667,0.19326031365875668,0.6804886874504503,0.5384615384615384,0.5833333333333334,0.5599999999999999,False,False
other_race_or_ethnicity,74,60,14,8,7,53,6,0.11666666666666667,0.05767720640056033,0.22178788024170853,0.42857142857142855,0.21380798904474121,0.6740935542034925,0.5333333333333333,0.5714285714285714,0.5517241379310344,False,False
other_religion,45,40,5,0,1,39,5,0.025,0.004426831502681396,0.12881368963474088,1.0,0.5655175352168254,1.0,0.0,0.0,,False,False
bisexual,40,35,5,3,3,32,2,0.08571428571428572,0.029582368266969833,0.22379273965896493,0.4,0.11762077423264794,0.769275718723987,0.5,0.6,0.5454545454545454,False,False
physical_disability,18,18,0,0,0,18,0,0.0,0.0,0.1758792236466576,,,,,,,False,False
intellectual_or_learning_disability,10,10,0,0,0,10,0,0.0,2.7755575615628914e-17,0.27753279986288915,,,,,,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
other_disability,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
