model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.7864593616470578,0.09113643611218342,0.20580128625803912,0.30320214016852753,0.18755514220652225,0.20084083784264078,False
baseline,0.4,0.7994461701898897,0.06720263171145163,0.26499540622128887,0.22309771214264143,0.1422544099597056,0.27762220004501326,False
baseline,0.5,0.8067714370198503,0.04764941843876404,0.3264207901299383,0.1640203226087067,0.09714888225347852,0.35606794421605337,False
baseline,0.6,0.8067471771870532,0.03292996089357345,0.38837117731985826,0.10800119636749984,0.062456507265159236,0.43217390415247453,False
baseline,0.7,0.7954409797344997,0.02183582014400564,0.46095288095550596,0.0764207886736347,0.037816136525750145,0.5170756442984333,False
mitigated,0.3,0.8016248941871474,0.059851294875883254,0.28953930962068514,0.16533446975213495,0.10641608087738794,0.33506655692795173,False
mitigated,0.4,0.8050352580524189,0.042614256222621306,0.35240845255282843,0.11939131871171552,0.07182740763210105,0.4122090048066636,False
mitigated,0.5,0.8027550955151972,0.030899112133062553,0.4068775429846437,0.08775918841826572,0.04670618691022124,0.4757108744386584,False
mitigated,0.6,0.7938242085796416,0.02259109447642705,0.46174038587741173,0.06211747273230202,0.032380593334390466,0.5413907268328536,False
mitigated,0.7,0.7786294462142113,0.01606216746949531,0.520409502559391,0.0391091360983512,0.020738384640752304,0.6021838597263379,False
