subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8709,7555,1154,718,487,7068,436,0.06446062210456652,0.05914150915825733,0.07022242368089682,0.3778162911611785,0.350291797066415,0.40615154165525436,0.595850622406639,0.6221837088388215,0.6087325137770241,True,True
male,7282,6173,1109,740,484,5689,369,0.07840596144500243,0.07195941310121363,0.0853768995271247,0.3327321911632101,0.3056195621721075,0.36099961609506637,0.6045751633986928,0.6672678088367899,0.6343763394770682,True,True
christian,6671,6068,603,356,279,5789,247,0.045978905735003295,0.04099031984526124,0.051541980714809386,0.4096185737976783,0.3710604215010237,0.4493210003421293,0.5606299212598426,0.5903814262023217,0.5751211631663974,True,True
white,4216,3037,1179,801,492,2545,378,0.1620019756338492,0.14932618062778627,0.1755317484020951,0.32061068702290074,0.2945898694098737,0.34779669318006495,0.6194895591647331,0.6793893129770993,0.6480582524271845,True,True
muslim,3556,2724,832,537,341,2383,295,0.12518355359765052,0.11328163055205785,0.13814114059285992,0.3545673076923077,0.322797771034287,0.38767363781226305,0.6116173120728929,0.6454326923076923,0.6280701754385966,True,True
black,2470,1692,778,547,295,1397,231,0.1743498817966903,0.1570147126540731,0.1931603911163334,0.2969151670951157,0.26587100311674255,0.329954983808222,0.649643705463183,0.7030848329048843,0.6753086419753086,True,True
homosexual_gay_or_lesbian,1851,1333,518,334,231,1102,184,0.17329332333083272,0.15392075804672062,0.19454349382622776,0.3552123552123552,0.31520320001766267,0.39735317612963694,0.5911504424778761,0.6447876447876448,0.6168051708217912,True,True
jewish,1214,1029,185,102,87,942,83,0.08454810495626822,0.06905624362811005,0.10313035606915111,0.4486486486486487,0.3787495387837907,0.5206369618360729,0.5396825396825397,0.5513513513513514,0.5454545454545454,True,True
psychiatric_or_mental_illness,792,628,164,125,56,572,39,0.08917197452229299,0.06930812948961618,0.11403130986421697,0.23780487804878048,0.17911858194005248,0.30849311659818385,0.6906077348066298,0.7621951219512195,0.7246376811594204,True,True
asian,772,674,98,62,29,645,36,0.04302670623145401,0.030122726468104603,0.06111019830502104,0.3673469387755102,0.2785887752216772,0.46611244664734003,0.6813186813186813,0.6326530612244898,0.6560846560846562,True,False
transgender,390,317,73,43,29,288,30,0.0914826498422713,0.06445131211835035,0.1282964052371393,0.410958904109589,0.3053127270093065,0.5255077675581524,0.5972222222222222,0.589041095890411,0.593103448275862,True,False
latino,360,296,64,32,24,272,32,0.08108108108108109,0.05508953478519161,0.11780669852621128,0.5,0.3810209474394701,0.6189790525605299,0.5714285714285714,0.5,0.5333333333333333,True,False
atheist,255,220,35,23,6,214,12,0.02727272727272727,0.012557987751287383,0.058212900287749905,0.34285714285714286,0.20831694987048963,0.5084805048600374,0.7931034482758621,0.6571428571428571,0.71875,True,False
heterosexual,207,155,52,28,22,133,24,0.14193548387096774,0.09563701423227211,0.2055529847509232,0.46153846153846156,0.3334047468175682,0.5949638867304212,0.56,0.5384615384615384,0.5490196078431373,True,False
buddhist,100,91,9,5,3,88,4,0.03296703296703297,0.01127440676768262,0.09249306942962307,0.4444444444444444,0.18877852109766463,0.7333487065045068,0.625,0.5555555555555556,0.5882352941176471,False,False
hindu,81,76,5,3,4,72,2,0.05263157894736842,0.020655429299384284,0.12765672575889647,0.4,0.11762077423264794,0.769275718723987,0.42857142857142855,0.6,0.5,False,False
other_race_or_ethnicity,77,59,18,8,4,55,10,0.06779661016949153,0.026678618971304358,0.1617552436874449,0.5555555555555556,0.33716415642042785,0.7544048187299436,0.6666666666666666,0.4444444444444444,0.5333333333333333,False,False
other_religion,65,57,8,4,6,51,4,0.10526315789473684,0.049144658523744666,0.2112281058338703,0.5,0.21521606221387762,0.7847839377861223,0.4,0.5,0.4444444444444445,False,False
bisexual,52,42,10,7,7,35,3,0.16666666666666666,0.08315916646398075,0.30604002744648845,0.3,0.10779126740630104,0.6032218525388545,0.5,0.7,0.5833333333333334,False,False
intellectual_or_learning_disability,24,21,3,2,0,21,1,0.0,0.0,0.15463901892484688,0.3333333333333333,0.06149194472039632,0.7923403991979523,1.0,0.6666666666666666,0.8,False,False
physical_disability,14,14,0,0,1,13,0,0.07142857142857142,0.012722215247890911,0.31468704424151117,,,,0.0,,,False,False
other_sexual_orientation,4,2,2,2,0,2,0,0.0,0.0,0.6576197724933468,0.0,0.0,0.6576197724933468,1.0,1.0,1.0,False,False
other_gender,2,2,0,0,0,2,0,0.0,0.0,0.6576197724933468,,,,,,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
